# MOCK DATA — see docs/architecture/ARCHITECTURE.md
portfolio_id,security_id,quantity,market_value,as_of_date
PORT_A,SEC001,1000000,982000,2026-08-01
PORT_A,SEC003,750000,741500,2026-08-01
PORT_A,SEC005,500000,486000,2026-08-01
PORT_A,SEC006,2000000,2015000,2026-08-01
PORT_A,SEC008,600000,599200,2026-08-01
PORT_B,SEC002,1200000,1189000,2026-08-01
PORT_B,SEC004,900000,873000,2026-08-01
PORT_B,SEC007,1500000,1523000,2026-08-01
PORT_B,SEC009,650000,631000,2026-08-01
PORT_B,SEC010,800000,784000,2026-08-01
