# MOCK DATA — see docs/ARCHITECTURE.md
security_id,name,asset_class,sector,currency,issuer
SEC001,Sample Corp 4.50% 2030,credit,industrials,USD,Sample Corp
SEC002,Sample Corp 5.25% 2033,credit,industrials,USD,Sample Corp
SEC003,Acme Holdings 3.75% 2028,credit,consumer_discretionary,USD,Acme Holdings
SEC004,Acme Holdings 6.00% 2035,credit,consumer_discretionary,USD,Acme Holdings
SEC005,Northwind Utilities 2.90% 2029,credit,utilities,USD,Northwind Utilities
SEC006,US Treasury 4.00% 2031,rates,government,USD,US Treasury
SEC007,US Treasury 4.25% 2034,rates,government,USD,US Treasury
SEC008,Globex Bank Floating 2027,credit,financials,USD,Globex Bank
SEC009,Contoso Energy 5.75% 2032,credit,energy,USD,Contoso Energy
SEC010,Initech Materials 4.90% 2030,credit,materials,USD,Initech Materials
